ID,Longitude,Latitude,School_Address,School_City,State,School_Zip_Code
2038,-83.841696,31.547608,407 W Bryant Dr,Sylvester,GA,31791-7349
2039,-83.837982,31.549186,1305 N Isabella St,Sylvester,GA,31791-7308
2040,-83.83584599999999,31.549634,1304 N Isabella St,Sylvester,GA,31791-7307
2041,-83.835759,31.543035999999997,103 Eldridge St,Sylvester,GA,31791-1349
2042,-84.421015,33.734026,765 Peeples St SW,Atlanta,GA,30310-2603
2043,-84.364739,33.734982,685 Mercer St SE,Atlanta,GA,30312-3519
2044,-84.37816,33.658974,3500 Villa Cir SE,Atlanta,GA,30354-2848
2045,-84.372382,33.698284,2025 Jonesboro Rd SE,Atlanta,GA,30315-6726
2046,-84.424637,33.721953000000006,1114 Avon Ave SW,Atlanta,GA,30310-3904
2047,-84.388788,33.718452,55 McDonough Blvd SE,Atlanta,GA,30315-2316
2048,-84.434656,33.742016,1444 Lucile Ave SW,Atlanta,GA,30310-1217
2049,-84.346979,33.775562,1246 Ponce de Leon Ave NE,Atlanta,GA,30306-4602
2050,-84.36702,33.689626000000004,660 McWilliams Rd SE,Atlanta,GA,30315-7544
2051,-84.51354599999999,33.754785999999996,286 Wilson Mill Rd SW,Atlanta,GA,30331-4122
2052,-84.395222,33.66668,3200 Latona Dr SW,Atlanta,GA,30354-2316
2053,-84.530557,33.701283000000004,1925 Niskey Lake Rd SW,Atlanta,GA,30331-6413
2054,-84.50384100000001,33.73413,3450 Benjamin E Mays Dr SW,Atlanta,GA,30331-1906
2055,-84.362029,33.739829,801 Glenwood Ave SE,Atlanta,GA,30316-1813
2056,-84.418973,33.715131,1461 Sylvan Rd SW,Atlanta,GA,30310-4124
2057,-84.44545500000001,33.866748,4111 Northside Pkwy NW,Atlanta,GA,30327-3015
2058,-84.465626,33.717244,2326 Venetian Dr SW,Atlanta,GA,30311-3336
2059,-84.39511,33.769777000000005,531 Luckie St NW,Atlanta,GA,30313-2401
2060,-84.31493499999999,33.744978,301 E Lake Blvd SE,Atlanta,GA,30317-3152
2061,-84.355163,33.732385,820 Essie Ave SE,Atlanta,GA,30316-2425
2062,-84.364327,33.789958,690 Courtenay Dr NE,Atlanta,GA,30306-3421
2063,-84.450997,33.756108000000005,98 Anderson Ave NW,Atlanta,GA,30314-1820
2064,-84.43471600000001,33.741996,1448 Lucile Ave SW,Atlanta,GA,30310-1217
2065,-84.36702,33.689626000000004,660 McWilliams Rd SE,Atlanta,GA,30315-7544
2066,-84.422724,33.764531,350 Temple St NW,Atlanta,GA,30314-2721
2067,-84.489391,33.732776,3116 Benjamin E Mays Dr SW,Atlanta,GA,30311-2234
2068,-84.387846,33.709033000000005,1670 Benjamin Weldon Bickers Dr SE,Atlanta,GA,30315-5102
2069,-84.41340100000001,33.698096,2040 Brewer Blvd SW,Atlanta,GA,30310-5055
2070,-84.455579,33.817302000000005,2268 Adams Dr NW,Atlanta,GA,30318-1918
2071,-84.513662,33.67112,3070 Fairburn Rd SW,Atlanta,GA,30331-5503
2072,-84.33157800000001,33.740575,480 Clifton St SE,Atlanta,GA,30316-1736
2073,-84.450688,33.793668,1903 Drew Dr NW,Atlanta,GA,30318-3508
2074,-84.420805,33.753488,45 Whitehouse Dr SW,Atlanta,GA,30314-2934
2075,-84.379902,33.738571,545 Hill St SE,Atlanta,GA,30312-3003
2076,-84.398465,33.675042,2930 Forrest Hills Dr SW,Atlanta,GA,30315-9027
2077,-84.407871,33.843503000000005,3260 Northside Dr NW,Atlanta,GA,30305-1910
2078,-84.376071,33.735716,688 Grant St SE,Atlanta,GA,30315-1420
2079,-84.525932,33.755621999999995,4215 Bakers Ferry Rd SW,Atlanta,GA,30331-4401
2080,-84.310976,33.746401,300 E Lake Blvd SE,Atlanta,GA,30317-3100
2081,-84.493977,33.772625,631 Harwell Rd NW,Atlanta,GA,30318-5905
2082,-84.422724,33.764531,350 Temple St NW,Atlanta,GA,30314-2721
2083,-84.449495,33.786252000000005,1891 Johnson Rd NW,Atlanta,GA,30318-4015
2084,-84.409696,33.680696999999995,650 Cleveland Ave SW,Atlanta,GA,30315-7904
2085,-84.489453,33.701917,3090 McMurray Dr SW,Atlanta,GA,30311-4208
2086,-84.39002099999999,33.819435999999996,8 Peachtree Battle Ave NW,Atlanta,GA,30305-4110
2087,-84.38096,33.746621999999995,211 Memorial Dr SE,Atlanta,GA,30312-2021
2088,-84.489874,33.698898,3099 Panther Trl SW,Atlanta,GA,30311-5423
2089,-84.478633,33.788809,1190 Northwest Dr NW,Atlanta,GA,30318-4515
2090,-84.478635,33.788817,1190 Northwest Dr NW,Atlanta,GA,30318-4515
2091,-84.361938,33.670838,800 Hutchens Rd SE,Atlanta,GA,30354-2502
2092,-84.38885400000001,33.718467,55 McDonough Blvd SE,Atlanta,GA,30315-2316
2093,-84.4123,33.761016,225 James P. Brawley Drive NW,Atlanta,GA,30314-4301
2094,-84.443737,33.772062,20 Evelyn Way NW,Atlanta,GA,30318-6418
2095,-84.440252,33.731987,1625 Westhaven Dr SW,Atlanta,GA,30311-0000
2096,-84.374589,33.768238000000004,386 Pine St NE,Atlanta,GA,30308-2532
2097,-84.447934,33.774615000000004,1890 Donald Lee Hollowell Pkwy NW,Atlanta,GA,30318-4800
2098,-84.498338,33.793859000000005,1445 Maynard Rd NW,Atlanta,GA,30331-1109
2100,-84.378413,33.831795,285 Sheridan Dr NE,Atlanta,GA,30305-3136
2101,-84.36270400000001,33.782309999999995,774 Virginia Ave NE,Atlanta,GA,30306-3631
2102,-84.375477,33.858193,370 Old Ivy Rd NE,Atlanta,GA,30342-4546
2103,-84.353398,33.796968,1053 E Rock Springs Rd NE,Atlanta,GA,30306-3047
2104,-84.41572,33.829723,2741 Howell Mill Rd NW,Atlanta,GA,30327-1331
2105,-84.372475,33.757208,112 Boulevard NE,Atlanta,GA,30312-1610
2106,-84.405622,33.730813,897 Welch St SW,Atlanta,GA,30310-2149
2107,-84.42282,33.873375,1325 Mount Paran Rd NW,Atlanta,GA,30327-3705
2108,-84.340075,33.769614000000004,586 Candler Park Dr NE,Atlanta,GA,30307-1605
2109,-84.48963,33.739625,570 Lynhurst Dr SW,Atlanta,GA,30311-2204
2110,-84.331106,33.745978,256 Clifton St SE,Atlanta,GA,30317-2123
2111,-84.46359,33.735588,2257 Bolling Brook Dr SW,Atlanta,GA,30311-2556
2112,-84.491681,33.678641,3181 Hogan Rd SW,Atlanta,GA,30331-2803
2113,-84.47882299999999,33.748707,301 Peyton Rd SW,Atlanta,GA,30311-2133
2114,-84.406287,33.832556,2875 Northside Dr NW,Atlanta,GA,30305-2807
2115,-84.517216,33.697058,3935 Rux Rd SW,Atlanta,GA,30331-5056
2116,-84.471136,33.803599,1752 Hollywood Rd NW,Atlanta,GA,30318-3410
2117,-84.392404,33.682719,2672 Old Hapeville Rd SW,Atlanta,GA,30315-8210
2118,-84.468082,33.761131,225 Hamilton E Holmes Dr NW,Atlanta,GA,30318-7421
2119,-84.4218,33.748409,1040 Fair St SW,Atlanta,GA,30314-3113
2120,-84.39195699999999,33.718472,1320 Pryor Rd SW,Atlanta,GA,30315-2214
2121,-84.371318,33.780561999999996,929 Charles Allen Dr NE,Atlanta,GA,30309-4204
2122,-84.364603,33.716318,200 Cassanova St SE,Atlanta,GA,30315-4208
2123,-84.38275,33.728165000000004,970 Martin St SE,Atlanta,GA,30315-1933
2124,-84.354775,33.704296,1820 Henry Thomas Dr SE,Atlanta,GA,30315-5614
2125,-84.401286,33.741285999999995,500 Whitehall Ter SW,Atlanta,GA,30312-2432
2126,-84.388666,33.71503,21 Thirkield Ave SW,Atlanta,GA,30315-3505
2127,-84.442468,33.753640000000004,1625 Martin Luther King Jr Dr NW,Atlanta,GA,30314-2207
2128,-84.328181,33.754894,65 Rogers St NE,Atlanta,GA,30317-1018
2129,-85.118121,33.712685,2440 Crosstown Pkwy,Bremen,GA,30110-5433
2130,-85.1387,33.717766999999995,504 Georgia Ave S,Bremen,GA,30110-2122
2131,-85.118121,33.712685,2440 Crosstown Pkwy,Bremen,GA,30110-5433
2132,-85.152924,33.728722,206 Lakeview Dr,Bremen,GA,30110-1539
2133,-83.991522,34.129504,2705 Robert Bell Pkwy,Buford,GA,30518-2528
2134,-83.98693399999999,34.132459999999995,2750 Sawnee Ave,Buford,GA,30518-2500
2135,-83.989248,34.118169,2455 Buford Hwy,Buford,GA,30518
2136,-83.99584399999999,34.134831,2500 Sawnee Ave,Buford,GA,30518-2590
2138,-84.956389,34.498482,399 S River St,Calhoun,GA,30701-2158
2139,-84.935182,34.493229,101 Raymond King Dr,Calhoun,GA,30701-9142
2140,-84.955814,34.499408,355 S River St,Calhoun,GA,30701-2158
2141,-85.08410699999999,33.559303,151 Tom Reeves Dr,Carrollton,GA,30117-4291
2142,-85.08543,33.562334,401 Ben Scott Blvd,Carrollton,GA,30117-4353
2143,-85.081123,33.566281,201 Trojan Dr,Carrollton,GA,30117
2144,-85.08094100000001,33.559042,510 Ben Scott Blvd,Carrollton,GA,30117-4350
2145,-84.81183399999999,34.149507,315 Etowah Dr,Cartersville,GA,30120-4072
2146,-84.813191,34.148779,340 Old Mill Rd,Cartersville,GA,30120-4152
2147,-84.822755,34.134761,825 Douthit Ferry Rd,Cartersville,GA,30120-6401
2148,-84.790452,34.16997,320 E Church St,Cartersville,GA,30120-3312
2149,-85.296603,34.870882,300 Crescent Ave,Chickamauga,GA,30707-1405
2150,-85.29523,34.869994,105 Lee Cir,Chickamauga,GA,30707-1426
2151,-85.296063,34.871821000000004,210 Crescent Ave,Chickamauga,GA,30707-1440
2152,-83.46203100000001,34.195467,395 Minish Dr,Commerce,GA,30529-3034
2153,-83.475488,34.187656,7690 Jefferson Rd,Commerce,GA,30529-4239
2154,-83.464352,34.198062,272 Lakeview Dr,Commerce,GA,30529-2632
2155,-83.461993,34.193427,825 Lakeview Dr,Commerce,GA,30529-3031
2156,-84.949157,34.791769,1500 Hale Bowen Dr,Dalton,GA,30721-2566
2157,-84.956437,34.771078,100 Bogle St,Dalton,GA,30721-3279
2158,-84.96324399999999,34.772193,104 Fort Hill Ter,Dalton,GA,30721-3152
2159,-84.975128,34.781011,708 Trammell St,Dalton,GA,30720-8745
2160,-84.937789,34.791973,1250 Cross Plains Trl,Dalton,GA,30721-8688
2161,-84.973256,34.772155,405 School St,Dalton,GA,30720-4269
2162,-84.97331700000001,34.755131,501 Central Ave,Dalton,GA,30720-5253
2163,-84.94964499999999,34.775605999999996,1116 Roan St,Dalton,GA,30721-3810
2164,-84.986009,34.779432,1500 Manley St,Dalton,GA,30720-4088
2165,-84.306058,33.763711,175 Mead Rd,Decatur,GA,30030-3622
2166,-84.30559000000001,33.755537,101 5th Ave,Decatur,GA,30030-4809
2167,-84.30641999999999,33.783264,758 Scott Blvd,Decatur,GA,30030-2357
2168,-84.289735,33.776059000000004,440 E Ponce de Leon Ave,Decatur,GA,30030-1937
2169,-84.28968,33.765077000000005,510 Avery St,Decatur,GA,30030-3809
2170,-84.296142,33.782489,155 Erie Ave,Decatur,GA,30030-1861
2172,-84.299283,33.767782000000004,220 W College Ave,Decatur,GA,30030-5232
2173,-84.296952,33.770882,310 N McDonough St,Decatur,GA,30030-3339
2174,-82.921873,32.568743,1501 N Jefferson St,Dublin,GA,31021-6460
2175,-82.922309,32.551358,1100 Edgewood Dr,Dublin,GA,31021-5522
2176,-82.94534399999999,32.545916,1127 Hillcrest Pkwy,Dublin,GA,31021-3555
2177,-82.901938,32.525856,911 Martin Luther King Jr Dr,Dublin,GA,31021-5064
2178,-82.92716,32.539297999999995,1405 W Moore St,Dublin,GA,31021-4127
2179,-83.808272,34.304753999999996,170 Barn St,Gainesville,GA,30501-8945
2180,-83.806825,34.311301,1581 Community Way,Gainesville,GA,30501-2581
2181,-83.845232,34.303312,852 Century Pl,Gainesville,GA,30501-3065
2182,-83.863845,34.288736,1145 McEver Rd,Gainesville,GA,30504-3933
2183,-83.872886,34.247857,4260 Mundy Mill Parkway,Gainesville,GA,30504-0000
2184,-83.823079,34.323482,1340 Enota Ave NE,Gainesville,GA,30501-1918
2185,-83.813689,34.300131,695 Fair St,Gainesville,GA,30501-4618
2186,-83.843857,34.299769,830 Century Pl,Gainesville,GA,30501-3002
2187,-83.589786,34.120094,100 Dragon Dr,Jefferson,GA,30549-9033
2188,-83.58675600000001,34.120545,99 Dragon Dr,Jefferson,GA,30549-2722
2189,-83.582048,34.122242,575 Washington St,Jefferson,GA,30549-1018
2190,-83.585726,34.123471,415 Hoschton St,Jefferson,GA,30549-2770
2191,-84.585716,33.947973,1171 Whitlock Ave SW,Marietta,GA,30064-1932
2192,-84.52667199999999,33.986251,840 Sawyer Rd,Marietta,GA,30062-2263
2193,-84.525552,33.944649,311 Aviation Rd SE,Marietta,GA,30060-2463
2194,-84.578135,33.943508,325 Manning Rd SW,Marietta,GA,30064-3044
2195,-84.559026,33.917434,120 Saine Dr SW,Marietta,GA,30008-3878
2196,-84.557594,33.954867,121 Winn St NW,Marietta,GA,30064-2255
2197,-84.530615,33.953396999999995,729 Lawrence St NE,Marietta,GA,30060-2143
2198,-84.517565,33.972013000000004,1205 Merritt Rd,Marietta,GA,30062-3251
2199,-84.527596,33.944134999999996,340 Aviation Rd SE,Marietta,GA,30060-2464
2201,-84.53222099999999,33.949044,105 Park St SE,Marietta,GA,30060-2324
